speech_id	sentence_id	text	label
http://ldf.fi/semparl/speeches/s2021_1_125_148	train_1	Arvoisa puhemies!	0
http://ldf.fi/semparl/speeches/s2020_1_021_037	train_2	Todellisuudessa osallistumismahdollisuudet ovat kuitenkin tällä hetkellä vahvasti jakautuneet sosioekonomisen taustan mukaan.	5
http://ldf.fi/semparl/speeches/s2021_1_125_030	train_3	Valtioneuvoston selonteko on EU-vaikuttamisen strategista ohjausta.	0
http://ldf.fi/semparl/speeches/s2017_1_054_142	train_4	Nämä ristiriidat eivät herätä minussa luottamusta sen suhteen, että tämä kokonaisuus olisi hallituksen hanskassa.	6
http://ldf.fi/semparl/speeches/s2021_1_125_162	train_5	Kukaan ei voi taata, [Puhemies koputtaa] ettei se koskaan tule, [Puhemies: Kiitoksia!] mutta päätöksenteko edellyttää silloinkin yksimielisyyttä.	0
http://ldf.fi/semparl/speeches/s2018_1_169_003	train_6	Toimialojen rajojen murtuessa työ jäsentyy uudella tavalla.	0
http://ldf.fi/semparl/speeches/s2021_1_091_001	train_7	Ainoaan käsittelyyn esitellään päiväjärjestyksen 2. asia.	0
http://ldf.fi/semparl/speeches/s2021_1_125_063	train_8	— Arvoisa puhemies!	0
http://ldf.fi/semparl/speeches/s2021_1_125_069	train_9	Mutta aikaa on vaikuttaa, ja Suomi tekee sitä niin ministeri Saarikon kirjeillä kuin pääministeri Marinin puheilla ja allekirjoittaneen toimilla.	2
http://ldf.fi/semparl/speeches/s2017_1_054_106	train_10	Totta kai edustajat saavat sitten niin paljon puheenvuoroja kuin haluavat.	0
http://ldf.fi/semparl/speeches/s2021_1_125_034	train_11	Tässä keskustelussa on jo useita kertoja heitetty tällainen retorinen tehokeino, että EU-jäsenyyden hyödyt olisivat jollain tavalla niitä maksuja suurempia.	0
http://ldf.fi/semparl/speeches/s2020_1_092_116	train_12	Käytin itse esimerkkinä valtion budjetissa olevia tiettyjä tuottavuustavoitteita ja muita sellaisia suoritelukuja, joilla näitä asioita lähestytään.	0
http://ldf.fi/semparl/speeches/s2017_1_054_065	train_13	Aivan uskomatonta väitettä.	7
http://ldf.fi/semparl/speeches/s2018_1_169_026	train_14	Arvoisa rouva puhemies!	0
http://ldf.fi/semparl/speeches/s2021_1_125_126	train_15	— Pääministeri vastaa Suomen EU-politiikasta, ja olisi tietysti ollut oikeus ja kohtuus, että hän olisi tässä keskustelussa ollut paikalla.	5
http://ldf.fi/semparl/speeches/s2017_1_054_142	train_16	[Kaj Turunen: Kyllä ne tulee!]	0
http://ldf.fi/semparl/speeches/s2021_1_125_055	train_17	Valtiovarainministeri Saarikko on kyllä pontevasti vastustanut ja ollut kriittinen tälle sosiaalirahastolle, mutta kun me luemme täältä ympäristöministeriön ja ilmastoministerin kannanottoa, niin täällä todetaankin, että on tärkeää, [Puhemies koputtaa] että Suomen kanta ei ole kategorinen, ja vaihtoehtoja selvitetään	2
http://ldf.fi/semparl/speeches/s2021_1_125_018	train_18	Siksi esitän, että eduskunta edellyttää, että valtioneuvosto laatii uuden selonteon suuren valiokunnan mietinnön vastalauseen 1 pohjalta.	0
http://ldf.fi/semparl/speeches/s2017_1_054_081	train_19	Mutta sitten edustaja Kankaanniemelle:	0
http://ldf.fi/semparl/speeches/s2021_1_124_210	train_20	Siltä osin nämä tämäntyyppiset lainsäädännöt olisi kyllä syytä jättää tekemättä ja tulla mukaan tähän 31 §:n muuttamiseen, jota perussuomalaiset ja kokoomus esittävät vastalauseessaan.	0
http://ldf.fi/semparl/speeches/s2017_1_054_057	train_21	Tämän direktiivin voimaanpano Suomessa on varmaan asia, jota pitäisi nyt kiirehtiä, ja se avaa tietysti monia mahdollisuuksia myös tässä avoimuuden politiikassa, jos halutaan niin toteuttaa.	2
http://ldf.fi/semparl/speeches/s2017_1_054_143	train_22	Mutta sitä mahdollisuutta, mikä porsaanreikä siinä tukitaan, kuvaisin suurin piirtein sillä tavalla, että todennäköisyys, että suomalainen yritys, listaamaton yritys, menisi Ranskaan ja lähtisi siellä sikäläiseen arvopaperikeskukseen ja lähtisi hakemaan listaamattomalle yritykselle sieltä Ranskasta rahaa sikäläisessä arvopaperijärjestelmässä, se todennäköisyys, että suomalainen listaamaton niin tekisi, on yhtä pieni kuin että M. Pekkarisesta tulisi joku päivä Yhdysvaltain presidentti.	7
